Latitude,Longitude
42.44478848482777,23.115055467801803
42.67260767963955,23.325216818921614
42.673637437782276,23.328758388322868
42.67234860631,23.32442332172195
42.673206029291045,23.323960619468718
42.6726605707362,23.325634814009202
42.67263986566424,23.327662034811738
42.67153657566411,23.3277484902881
42.67304969816158,23.329093154410717
42.67123428322367,23.321699518090988
42.67065991293321,23.327475037374228
42.668952815962335,23.323570065001395
42.66951399914754,23.329113852323204
42.568855120066566,23.4712919134143
42.734394456642,23.347577647021588
42.735079384503244,23.347333266996653
42.7352385711759,23.344660724292723
42.73324797260447,23.344775550961337
42.729413777754935,23.344268340764057
42.73051240528364,23.343622812213606
42.73278081879304,23.343366835087895
42.73247392582367,23.34550046746659
42.7319594787062,23.346024985458737
42.73056140236506,23.34087793382893
42.73241679134446,23.340612024560848
42.729375967805844,23.34991568448912
42.7327423215034,23.344586219230187
42.72798230114514,23.338194428469517
42.721679455888975,23.350827170727054
42.722243949401125,23.35295621076413
42.7204312532133,23.354782712205743
42.72503944012172,23.336779848173038
42.726875370012074,23.35064648768906
42.73871394883451,23.342993689535888
42.73923159630438,23.343121852011713
42.739301311861645,23.34253814425044
42.73870863095485,23.3424334548666
42.73873684233121,23.342615001265127
42.74053284818599,23.34124844671449
42.74098006997895,23.33898060898399
42.73742201125531,23.33904255855962
42.740489201584914,23.338322617209034
42.7386128450827,23.340800788212203
42.739113281652244,23.340970636148857
42.74096204283144,23.340829172191377
42.74040048427596,23.341174417359003
42.77752663168374,23.264044770332664
42.748562396607035,23.32327195170247
42.74187558518459,23.331890307015243
42.74842800522496,23.324636080922378
42.74283360872662,23.310229898373063
42.75565585890949,23.315541079640212
42.71343094522575,23.2592999153112
42.71407550997355,23.260238490065028
42.715129899035986,23.259679892321753
42.71411455092988,23.25702680970335
42.7151300401743,23.255997808158533
42.71583100863931,23.2564693499154
42.7143674647205,23.258519995361258
42.71272825413249,23.255451441312108
42.7129645234188,23.256266215926704
42.713429854698255,23.255299234751355
42.714645302737694,23.256837775561756
42.71446241965144,23.25613754531938
42.713353432986544,23.257480624399427
42.71461028164201,23.25676805485254
42.713319836565596,23.257862361543143
42.71418062587442,23.258284958489927
42.7158400827856,23.25651884689095
42.71344283135252,23.25777747265781
42.713615463703654,23.256203301467522
